codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_sedia,materiale_struttura_gambe,finitura_struttura_gambe,materiale_rivestimento_seduta,colore_finitura_rivestimento,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
CH193668620,1,2600,NATUZZI,"SEDIE E POLTRONCINE",VALLE,Con Braccioli (2° opz.),Legno,Eucalipto,Tessuto,,61X61 H85,"VALLE Sedia (2° opz.) Tessuto CAT 86 Gambe Eucalipto",Y2,CH193668620
CH193668644,1,2030,NATUZZI,"SEDIE E POLTRONCINE",VALLE,Con Braccioli (2° opz.),Legno,Frassino Tabacco,Tessuto,,61X61 H85,"VALLE Sedia (2° opz.) Tessuto CAT 86 Gambe Frassino Tabacco",Y2,CH193668644
CH193668820,1,2630,NATUZZI,"SEDIE E POLTRONCINE",VALLE,Con Braccioli (2° opz.),Legno,Eucalipto,Tessuto,,61X61 H85,"VALLE Sedia (2° opz.) Tessuto CAT 88 Gambe Eucalipto",Y2,CH193668820
CH193668844,1,2050,NATUZZI,"SEDIE E POLTRONCINE",VALLE,Con Braccioli (2° opz.),Legno,Frassino Tabacco,Tessuto,,61X61 H85,"VALLE Sedia (2° opz.) Tessuto CAT 88 Gambe Frassino Tabacco",Y2,CH193668844
CH193669920,1,2630,NATUZZI,"SEDIE E POLTRONCINE",VALLE,Con Braccioli (2° opz.),Legno,Eucalipto,Tessuto,,61X61 H85,"VALLE Sedia (2° opz.) Tessuto CAT 99 Gambe Eucalipto",Y2,CH193669920
CH193669944,1,2050,NATUZZI,"SEDIE E POLTRONCINE",VALLE,Con Braccioli (2° opz.),Legno,Frassino Tabacco,Tessuto,,61X61 H85,"VALLE Sedia (2° opz.) Tessuto CAT 99 Gambe Frassino Tabacco",Y2,CH193669944
CH042311410,1,710,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Grigio,Pelle,,48X60 H89,"VESTA Sedia S/B Pelle Schienale Frassino Grigio",Y2,CH042311410
CH042311412,1,710,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Affumicato,Pelle,,48X60 H89,"VESTA Sedia S/B Pelle Schienale Frassino Affumicato",Y2,CH042311412
CH042311444,1,710,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Olmo Tabacco,Pelle,,48X60 H89,"VESTA Sedia S/B Pelle Schienale Olmo Tabacco",Y2,CH042311444
CH042317010,1,640,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Grigio,Tessuto,,48X60 H89,"VESTA Sedia S/B Tessuto Schienale Frassino Grigio",Y2,CH042317010
CH042317012,1,640,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Affumicato,Tessuto,,48X60 H89,"VESTA Sedia S/B Tessuto Schienale Frassino Affumicato",Y2,CH042317012
CH042317044,1,640,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Olmo Tabacco,Tessuto,,48X60 H89,"VESTA Sedia S/B Tessuto Schienale Olmo Tabacco",Y2,CH042317044
CH042319910,1,680,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Grigio,Tessuto,,48X60 H89,"VESTA Sedia S/B Tessuto Schienale Frassino Grigio",Y2,CH042319910
CH042319912,1,680,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Affumicato,Tessuto,,48X60 H89,"VESTA Sedia S/B Tessuto Schienale Frassino Affumicato",Y2,CH042319912
CH042319944,1,680,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Olmo Tabacco,Tessuto,,48X60 H89,"VESTA Sedia S/B Tessuto Schienale Olmo Tabacco",Y2,CH042319944
CH04231A010,1,700,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Grigio,Pelle,,48X60 H89,"VESTA Sedia S/B Pelle Schienale Frassino Grigio CTA0",Y2,CH04231A010
CH04231A012,1,700,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Frassino Affumicato,Pelle,,48X60 H89,"VESTA Sedia S/B Pelle Schienale Frassino Affumicato CTA0",Y2,CH04231A012
CH04231A044,1,700,NATUZZI,"SEDIE E POLTRONCINE",VESTA,Senza Braccioli,Legno,Olmo Tabacco,Pelle,,48X60 H89,"VESTA Sedia S/B Pelle Schienale Olmo Tabacco CTA0",Y2,CH04231A044
CH210661488,1,1540,NATUZZI,"SEDIE E POLTRONCINE",VOYAGE,Con Braccioli Girevole,Metallo,Oro,Pelle,,64X53 H71,"VOYAGE Poltroncina Girevole Pelle CAT 15 Base Oro",Y2,CH210661488
CH210663088,1,1640,NATUZZI,"SEDIE E POLTRONCINE",VOYAGE,Con Braccioli Girevole,Metallo,Oro,Pelle,,64X53 H71,"VOYAGE Poltroncina Girevole Pelle CAT 30 Base Oro",Y2,CH210663088
CH210669988,1,1540,NATUZZI,"SEDIE E POLTRONCINE",VOYAGE,Con Braccioli Girevole,Metallo,Oro,Tessuto,,64X53 H71,"VOYAGE Poltroncina Girevole Tessuto CAT 99 Base Oro",Y2,CH210669988
