codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,forma,funzione,struttura_tipo_materiale_label,struttura_materiale,struttura_finitura_label,struttura_finitura,top_tipo_materiale_label,top_materiale,top_finitura_label,top_finitura,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
T157XYS,1,1040,NATUZZI,TAVOLINI,IDO,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Peltro,Top,Marmo,Finitura Top,Oro Calacatta,55X55 H56,"IDO ACC.TAB.4 ST.D55H56 CALA.GOLD-PEWTER",Y2,DDT157SMAM6915P
T1630X7,1,3080,NATUZZI,TAVOLINI,KENDO,Quadrato,Centrale,Struttura,Legno e Metallo,Finitura Struttura,Rovere Fumé/Ottone,Top,Legno,Finitura Top,Rovere Fumé/Ottone,100X100 H26,"KENDO Cent.100x100H26 Sm.Oak/Brass",Y2,DDT16300000007X
T163MN3,1,4160,NATUZZI,TAVOLINI,KENDO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Peltro,Top,Legno,Finitura Top,Noce,90X160 H26,"KENDO CENTR.TAB.160X90 H26 WALNUT-PEWTER",Y2,DDT163CFRL6304P
T163MR3,1,3950,NATUZZI,TAVOLINI,KENDO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Ottone,Top,Legno,Finitura Top,Rovere Fumé,90X160 H26,"KENDO CENTR.TAB.160X90 H26 SMOKED OAK-OT",Y2,DDT163CFRL6312P
T163MRS,1,1670,NATUZZI,TAVOLINI,KENDO,Rettangolare,Da Appoggio,Struttura,Metallo,Finitura Struttura,Ottone,Top,Legno,Finitura Top,Rovere Fumé,38X53 H50,"KENDO ACCENT TAB.53X38 H50 SMOKED OAK-BR",Y2,DDT163SFRL6312P
Q466002XNA,1,1910,NATUZZI,TAVOLINI,KUBIKA,Quadrato,Centrale con Cassetto,Struttura,Legno,Finitura Struttura,Rovere Fumé,Top,Legno,Finitura Top,Rovere Fumé,102X102 H38,"Kubika w/drawer Smok.Oak L102P102H39",Y2,Q466002XNA
T140V00,1,1250,NATUZZI,TAVOLINI,LABIRINTO,Quadrato,Angolare,Struttura,Vetro,Finitura Struttura,Fumé,Top,,Finitura Top,,60X60 H70,"LABIRINTO CORNER TABLE 60X60 H70 SMOKED",Y2,DDT140AVT06300P
T140V04,1,1350,NATUZZI,TAVOLINI,LABIRINTO,Quadrato,Centrale,Struttura,Vetro,Finitura Struttura,Fumé,Top,,Finitura Top,,100X100 H34,"LABIRINTO CENT.TABLE 100X100 H34 SMOKED",Y2,DDT140CVTV6300P
T140VM0,1,1250,NATUZZI,TAVOLINI,LABIRINTO,Quadrato,Angolare,Struttura,Vetro,Finitura Struttura,Bronzo,Top,,Finitura Top,,60X60 H70,"LABIRINTO CORNER TABLE 60X60 H70 BRONZE",Y2,DDT140AVT02400P
T140VM4,1,1350,NATUZZI,TAVOLINI,LABIRINTO,Quadrato,Centrale,Struttura,Vetro,Finitura Struttura,Bronzo,Top,,Finitura Top,,100X100 H34,"LABIRINTO CENT.TABLE 100X100 H34 BRONZE",Y2,DDT140CVTV2400P
T140VX4,1,1350,NATUZZI,TAVOLINI,LABIRINTO,Quadrato,Centrale,Struttura,Vetro,Finitura Struttura,Trasparente,Top,,Finitura Top,,100X100 H34,"LABIRINTO CENT.TABLE 100X100 H34 CRYSTAL",Y2,DDT140CVTV0000P
T140V03,1,1330,NATUZZI,TAVOLINI,LABIRINTO,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Fumé,Top,,Finitura Top,,85X125 H34,"LABIRINTO CENTRAL TAB.85X125 H34 SMOKED",Y2,DDT140CVT06300P
T140VM3,1,1330,NATUZZI,TAVOLINI,LABIRINTO,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Bronzo,Top,,Finitura Top,,85X125 H34,"LABIRINTO CENTRAL TAB.85X125 H34 BRONZE",Y2,DDT140CVT02400P
T140VX3,1,1330,NATUZZI,TAVOLINI,LABIRINTO,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Trasparente,Top,,Finitura Top,,85X125 H34,"LABIRINTO CENTRAL TAB.85X125 H34 CRYSTAL",Y2,DDT140CVT00000P
T151M0S,1,450,NATUZZI,TAVOLINI,LONG BEACH,Rettangolare,Da Appoggio,Struttura,Metallo,Finitura Struttura,Antracite,Top,Legno,Finitura Top,Rovere Fumé,35X42 H51,"LONG BEACH ACC.TAB.42X35 H51 SM.OAK-ANTH",Y2,DDT151SFRL6312P
T058V00,1,310,NATUZZI,TAVOLINI,MERCURIO,Quadrato,Angolare,Struttura,Vetro,Finitura Struttura,Fumé,Top,,Finitura Top,,60X60 H45,"MERCURIO CORNER TABLE 60X60 H45 SMOKED",Y2,DDT058AVT06300P
T058VH1,1,320,NATUZZI,TAVOLINI,MERCURIO,Quadrato,Angolare,Struttura,Vetro,Finitura Struttura,Trasparente,Top,,Finitura Top,,60X60 H45,"MERCURIO CORNER TABLE 60X60 H45 TRASPAR.",Y2,DDT058AVT06000P
T058V03,1,335,NATUZZI,TAVOLINI,MERCURIO,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Fumé,Top,,Finitura Top,,52X111 H40,"MERCURIO CENTRAL TABLE 111X52 H40 SMOKED",Y2,DDT058CVT06300P
T058VX3,1,300,NATUZZI,TAVOLINI,MERCURIO,Rettangolare,Centrale,Struttura,Vetro,Finitura Struttura,Trasparente,Top,Vetro,Finitura Top,Trasparente,52X111 H40,"MERCURIO CENTRAL 111x52 H40 CRISTA",Y2,DDT058CVT00000P
Q083001XNA,1,3210,NATUZZI,TAVOLINI,MINDFUL,Multiforme,Centrale,Struttura,Legno Laccato,Finitura Struttura,Cioccolato,Top,Legno Laccato,Finitura Top,Cioccolato,88X125 H46,"MINDFUL  Tab.with  Func.Cioc.Opaco",Y2,Q083001XNA
Q083002XNA,1,1290,NATUZZI,TAVOLINI,MINDFUL,Quadrato,Da Appoggio,Struttura,Legno Laccato,Finitura Struttura,Cioccolato,Top,Legno Laccato,Finitura Top,Cioccolato,45X45 H55,"MINDFUL  Tab.Accent Cioc.Opaco",Y2,Q083002XNA
Q983001XNA,1,680,NATUZZI,TAVOLINI,MOMENTO,Rettangolare,Laterale,Struttura,Legno,Finitura Struttura,Rovere Fumé,Top,Legno,Finitura Top,Rovere Fumé,96X36 H48,"Momento Side Tab.Smoked Oak L96x36H48",Y2,Q983001XNA
T879001XNA,1,2260,NATUZZI,TAVOLINI,PATIO,Quadrato,Centrale,Struttura,Vetro/Metallo,Finitura Struttura,Trasparente,Top,Vetro,Finitura Top,Trasparente,90X90 H26,"PATIO Cent.Sq.90X90H26 StopsolGlass",Y2,T879001XNA
Q984001XNA,1,1920,NATUZZI,TAVOLINI,ROLL,Rettangolare,Centrale con Ruote,Struttura,Legno,Finitura Struttura,Rovere Grafite,Top,Legno,Finitura Top,Rovere Grafite,80X120 H40,"ROLL Multif.Tab. w/wheels Graph.Oak",Y2,Q984001XNA
E03001X,1,1300,NATUZZI,TAVOLINI,Saturday,Rotondo,Centrale,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Legno,Finitura Top,Rovere Fumé,70X70 H35,"SATURDAY TAVOLINO D70 ROV2017NEROBRUN",Y2,DDE030T0000001X
E03003X,1,950,NATUZZI,TAVOLINI,Saturday,Rotondo,Angolare,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Legno Laccato,Finitura Top,Antracite Lucido,52X52 H45,"SATURDAY TAV D52 ANTRAClucNERObrun",Y2,DDE030T0000003X
E03004X,1,950,NATUZZI,TAVOLINI,Saturday,Rotondo,Angolare,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Legno Laccato,Finitura Top,Gesso Bianco Lucido,52X52 H45,"SATURDAY TAV D52 BIANCGESSOlucNERObrun",Y2,DDE030T0000004X
E03006X,1,710,NATUZZI,TAVOLINI,Saturday,Rotondo,Da Appoggio,Struttura,Metallo,Finitura Struttura,Nero Brunito,Top,Resina,Finitura Top,Base Acciaio Cemento,38X38 H40,"SATURDAY TAV D38 RESINACEMENTO/NEROBR",Y2,DDE030T0000006X
E04301X,1,2350,NATUZZI,TAVOLINI,Skyline,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Cromo Nero Lucido,Top,Granito Nero,Finitura Top,,85X85 H22,"SKYLINE Tav 85x85 CromNe/Granit ne",Y2,DDE04300000001X
E04302X,1,2350,NATUZZI,TAVOLINI,Skyline,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Cromato Lucido,Top,Marmo Calacatta,Finitura Top,,85X85 H22,"SKYLINE Tav 85x85 Cromo/Calacat op",Y2,DDE04300000002X
E04305X,1,2610,NATUZZI,TAVOLINI,Skyline,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Grafite Opaco,Top,Marmo,Finitura Top,Invisible Gray,85X85 H22,"Skyline Grafite/Invisible Gray L85x85",Y2,DDE04300000005X
E04303X,1,2370,NATUZZI,TAVOLINI,Skyline,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Cromo Nero Lucido,Top,Granito Nero,Finitura Top,,40X106 H40,"SKYLINE Tav 106x40 CromNe/Gran. Ne",Y2,DDE04300000003X
E04304X,1,2370,NATUZZI,TAVOLINI,Skyline,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Cromato Lucido,Top,Marmo Calacatta,Finitura Top,,40X106 H40,"SKYLINE Tav 106x40 Crom/Calacat op",Y2,DDE04300000004X
E04306X,1,2110,NATUZZI,TAVOLINI,Skyline,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Grafite Opaco,Top,Marmo,Finitura Top,Invisible Gray,106X40 H40,"Skyline Grafite/Invisible Gray L106x40",Y2,DDE04300000006X
Q124001XNA,1,2850,NATUZZI,TAVOLINI,SPLASH,Multiforme,Centrale,Struttura,Metallo,Finitura Struttura,Viola,Top,Marmo,Finitura Top,Marmo Lilac,96X100 H35,"Splash Plum/Lilac Marble L100 P96 H35",Y2,Q124001XNA
Q124002XNA,1,1800,NATUZZI,TAVOLINI,SPLASH,Multiforme,Da Appoggio,Struttura,Metallo,Finitura Struttura,Viola,Top,Marmo,Finitura Top,Marmo Lilac,61X70 H45,"Splash Plum/Lilac Marble L70 P61 H45",Y2,Q124002XNA
Q124003XNA,1,3140,NATUZZI,TAVOLINI,SPLASH,Multiforme,Centrale,Struttura,Metallo,Finitura Struttura,Verde Scuro,Top,Marmo,Finitura Top,Verde Calacatta,100X96 H35,"Splash Green/Calacatta Green L100 P96",Y2,Q124003XNA
Q124004XNA,1,1990,NATUZZI,TAVOLINI,SPLASH,Multiforme,Da Appoggio,Struttura,Metallo,Finitura Struttura,Verde Scuro,Top,Marmo,Finitura Top,Verde Calacatta,70X61 H45,"Splash Green/Calacatta Green L70 P61 H45",Y2,Q124004XNA
Q124005XNA,1,2980,NATUZZI,TAVOLINI,SPLASH,Multiforme,Centrale,Struttura,Metallo,Finitura Struttura,Caffè Opaco,Top,Marmo,Finitura Top,Volakas,100X96 H35,"Splash Caffe'/Volakas  L100 P96 H35",Y2,Q124005XNA
Q124006XNA,1,1890,NATUZZI,TAVOLINI,SPLASH,Multiforme,Da Appoggio,Struttura,Metallo,Finitura Struttura,Caffè Opaco,Top,Marmo,Finitura Top,Volakas,70X61 H45,"Splash Caffe'/Volakas L70 P61 H45",Y2,Q124006XNA
Q092003XNA,1,1580,NATUZZI,TAVOLINI,SQUARE,Rettangolare,Centrale con Ruote,Struttura,Legno,Finitura Struttura,Rovere Fumé,Top,Legno,Finitura Top,Rovere Fumé,120X76 H43,"Square Multif.Tab. w/wheels SmokedOak",Y2,Q092003XNA
Q092004XNA,1,1580,NATUZZI,TAVOLINI,SQUARE,Rettangolare,Centrale con Ruote,Struttura,Legno,Finitura Struttura,Legno Frassino Tabacco,Top,Legno,Finitura Top,Legno Frassino Tabacco,120X76 H43,"Square Multif.Tab. w/wheels AshwoodTobac",Y2,Q092004XNA
Q092007XNA,1,1500,NATUZZI,TAVOLINI,SQUARE,Rettangolare,Centrale con Ruote,Struttura,Legno,Finitura Struttura,Rovere Grafite,Top,Legno,Finitura Top,Rovere Grafite,120X76 H48,"Square Multif.Tab. w/wheels Graph.Oak",Y2,Q092007XNA
Q123001XNA,1,4700,NATUZZI,TAVOLINI,TEMPIO,Rettangolare,Centrale,Struttura,Marmo,Finitura Struttura,Travertino Bianco,Top,Marmo,Finitura Top,Travertino Bianco,100X155 H34,"Tempio Marble Travertino L155 W100 H34",Y2,Q123001XNA
Q123002XNA,1,1810,NATUZZI,TAVOLINI,TEMPIO,Rettangolare,Centrale,Struttura,Legno,Finitura Struttura,Rovere Fumé,Top,Legno,Finitura Top,Rovere Fumé,100X155 H34,"Tempio Smoked Oak L155 W100 H34",Y2,Q123002XNA
Q123003XNA,1,3170,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Centrale,Struttura,Marmo,Finitura Struttura,Travertino Bianco,Top,Marmo,Finitura Top,Travertino Bianco,100X100 H34,"Tempio Round White Travertino D100cm",Y2,Q123003XNA
Q123004XNA,1,3960,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Centrale,Struttura,Marmo,Finitura Struttura,Travertino Bianco,Top,Marmo,Finitura Top,Travertino Bianco,130X130 H34,"Tempio Round White Travertino D130cm",Y2,Q123004XNA
Q123005XNA,1,1480,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Angolare,Struttura,Marmo,Finitura Struttura,Travertino Bianco,Top,Marmo,Finitura Top,Travertino Bianco,66X66 H45,"Tempio Accent White Travertino D66 cm",Y2,Q123005XNA
Q123007XNA,1,1520,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Centrale,Struttura,Legno,Finitura Struttura,Rovere Fumé,Top,Legno,Finitura Top,Rovere Fumé,100X100 H34,"Tempio Round Smoked Oak D100 cm",Y2,Q123007XNA
Q123008XNA,1,1770,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Centrale,Struttura,Legno,Finitura Struttura,Rovere Fumé,Top,Legno,Finitura Top,Rovere Fumé,130X130 H34,"Tempio Round Smoked Oak D130 cm",Y2,Q123008XNA
Q123009XNA,1,1120,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Angolare,Struttura,Legno,Finitura Struttura,Rovere Fumé,Top,Legno,Finitura Top,Rovere Fumé,66X66 H45,"Tempio Accent  Smoked Oak D66 cm",Y2,Q123009XNA
Q123010XNA,1,1440,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Centrale,Struttura,Legno,Finitura Struttura,Noce,Top,Legno,Finitura Top,Noce,100X155 H34,"Tempio Round Walnut D100 cm",Y2,Q123010XNA
Q123011XNA,1,1690,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Centrale,Struttura,Legno,Finitura Struttura,Noce,Top,Legno,Finitura Top,Noce,130X130 H34,"Tempio Round Walnut D130 cm",Y2,Q123011XNA
Q123012XNA,1,1040,NATUZZI,TAVOLINI,TEMPIO,Rotondo,Angolare,Struttura,Legno,Finitura Struttura,Noce,Top,Legno,Finitura Top,Noce,66X66 H45,"Tempio Accent  Walnut D66 cm",Y2,Q123012XNA
T13401X,1,900,NATUZZI,TAVOLINI,TEMPO,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Legno,Finitura Top,Rovere Fumé,90X90 H38,"TEMPO Centr.90x90H38 Anthr/Sm.Oak",Y2,DDT13400000001X
T13403X,1,2080,NATUZZI,TAVOLINI,TEMPO,Quadrato,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Marmo,Finitura Top,Marmo Lilac,90X90 H38,"TEMPO Centr.90x90H38 Anthr/Lilac",Y2,DDT13400000003X
T134M04,1,1610,NATUZZI,TAVOLINI,TEMPO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Metallo,Finitura Top,Nickel Silver,73X118 H39,"TEMPO CENT.TAB.118X73 H39 DARK GREY-SILV",Y2,DDT134CFRM2315P
T134M05,1,1720,NATUZZI,TAVOLINI,TEMPO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Metallo,Finitura Top,Nickel Silver,70X148 H25,"TEMPO CENT.TAB.148X70 H25 DARK GREY-SILV",Y2,DDT134CFRV2315P
T134MM5,1,860,NATUZZI,TAVOLINI,TEMPO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Vetro,Finitura Top,Caffè Smaltato,70X148 H25,"TEMPO TAV.CENT.148X70 H25 ANTR.VET.CAFFE",Y2,DDT134CFR16324P
T134MM7,1,790,NATUZZI,TAVOLINI,TEMPO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Vetro,Finitura Top,Caffè Smaltato,73X118 H39,"TEMPO TAV.CENTR.118X73 H39 ANTR.VET.CAFF",Y2,DDT134CFRW6324P
T134MX3,1,1900,NATUZZI,TAVOLINI,TEMPO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Marmo,Finitura Top,Oro Calacatta Lucido,73X118 H39,"TEMPO TAV.CENT.118X73 H39 ANTR.CALAC.ORO",Y2,DDT134CFR26363P
T134MXS,1,990,NATUZZI,TAVOLINI,TEMPO,Rettangolare,Da Appoggio,Struttura,Metallo,Finitura Struttura,Antracite,Top,Metallo,Finitura Top,Nickel Silver,46X56 H50,"TEMPO ACCENT 56X46 H50 DARK GREY-SILVER",Y2,DDT134SFR26363P
T134XX3,1,2130,NATUZZI,TAVOLINI,TEMPO,Rettangolare,Centrale,Struttura,Metallo,Finitura Struttura,Antracite,Top,Marmo,Finitura Top,Oro Calacatta Lucido,70X148 H25,"TEMPO TAV.CENT.148X70 H25 ANTR.CALAC.ORO",Y2,DDT134CFRW6363P
T845006XNA,1,1050,NATUZZI,TAVOLINI,VOYAGE,Multiforme,Centrale,Struttura,Metallo,Finitura Struttura,Oro,Top,Metallo,Finitura Top,Oro,67X53 H41,"VOYAGE Mag.Rack 53x67H41 Gold",Y2,T845006XNA
T845004XNA,1,2890,NATUZZI,TAVOLINI,VOYAGE,Rotondo,Centrale,Struttura,Metallo,Finitura Struttura,Oro,Top,Marmo,Finitura Top,Stardust,100X100 H44,"VOYAGE CentrD100H44 Gold/Stardust St.",Y2,T845004XNA
T845005XNA,1,2710,NATUZZI,TAVOLINI,VOYAGE,Rotondo,Centrale,Struttura,Metallo,Finitura Struttura,Oro,Top,Vetro,Finitura Top,Oro & Vetro,100X100 H44,"VOYAGE Centr.D100H44 Gold&Glass",Y2,T845005XNA
Q123006XNA,1,3860,NATUZZI,TAVOLINI,TEMPIO,Rettangolare,Centrale,Struttura,Marmo,Finitura Struttura,Bianco Carrara,Top,Marmo,Finitura Top,Bianco Carrara,100X155 H34,"Tempio Rectrangular Marble Carrara L155",Y0,Q123006XNA
